/home/steve/IdeaProjects/tqec/.venv/bin/python /home/steve/IdeaProjects/tqec/streaming.py
Benchmarking streaming with nx=5, ny=5, t=100, k=2

Initial stream generation time (s): 0.00000072

Index, Time Taken (s), Time Elapsed (s), Total Circuit Size (bytes), Circuit Snippet
Partition 1/12 layer tree generation time (s): 3.865647077560425
269, 0.25745273, 91.39466453, 8478083, RX 2 4 6 8 10 12 14
270, 0.00023389, 91.39507341, 8532163, TICK
271, 0.23738527, 91.63246775, 8532167, RX 2 4 8 10 14 16 20
272, 0.25135374, 91.88401771, 8583480, REPEAT 3 {     TICK
273, 0.00019646, 91.88439846, 8638853, TICK
274, 3.14605951, 95.03046536, 8638857, RX 2 4 8 10 14 16 20
Partition 7/12 layer tree generation time (s): 4.22878885269165
275, 5.81165886, 100.84237027, 8691820, TICK
276, 0.23341298, 101.07579827, 8691824, RX 2 4 8 10 14 16 20
277, 0.23415184, 101.31012845, 8742654, REPEAT 3 {     TICK
278, 0.00019717, 101.31050444, 8797478, TICK
279, 0.23829770, 101.54881024, 8797482, RX 2 4 8 10 14 16 20
280, 0.00028372, 101.54928899, 8849873, TICK
281, 0.22913289, 101.77843094, 8849877, RX 2 4 8 10 14 16 20
282, 0.22933841, 102.00794840, 8900017, REPEAT 3 {     TICK
283, 0.00018978, 102.00831652, 8953741, TICK
284, 0.67623544, 102.68456221, 8953745, RX 2 4 8 10 14 16 20
285, 0.00023866, 102.68498850, 9005002, TICK
286, 0.24793315, 102.93293071, 9005006, RX 2 4 8 10 14 16 20
287, 0.24854136, 103.18165231, 9056797, REPEAT 3 {     TICK
288, 0.00020480, 103.18204594, 9113553, TICK
289, 0.24960446, 103.43166018, 9113557, RX 2 4 8 10 14 16 20
290, 0.00027180, 103.43212295, 9167911, TICK
291, 0.45520329, 103.88733602, 9167915, RX 2 4 8 10 14 16 20
292, 0.23460031, 104.12213898, 9218934, REPEAT 3 {     TICK
293, 0.00019217, 104.12251949, 9273760, TICK
294, 0.24055719, 104.36308837, 9273764, RX 2 4 8 10 14 16 20
295, 0.00030255, 104.36359191, 9326164, TICK
296, 0.22393632, 104.58754134, 9326168, RX 2 4 8 10 14 16 20
297, 0.22619152, 104.81394172, 9375655, REPEAT 3 {     TICK
298, 0.00018787, 104.81430125, 9428223, TICK
299, 0.22441292, 105.03872681, 9428227, RX 2 4 8 10 14 16 20
300, 0.00034022, 105.03926682, 9478353, TICK
301, 0.23948574, 105.27876019, 9478357, RX 2 4 8 10 14 16 20
302, 0.71861410, 105.99754643, 9528438, REPEAT 3 {     TICK
303, 0.00018907, 105.99790835, 9582701, TICK
304, 0.23994970, 106.23786569, 9582705, RX 2 4 8 10 14 16 20
305, 0.00023293, 106.23827147, 9634546, TICK
306, 0.23053026, 106.46880984, 9634550, RX 2 4 8 10 12 14 16
307, 0.22926426, 106.69824767, 9684222, REPEAT 3 {     TICK
308, 0.00018477, 106.69860435, 9737320, TICK
309, 0.22986770, 106.92848134, 9737324, RX 2 4 8 10 12 14 16
310, 0.00025058, 106.92891431, 9787973, TICK
311, 0.46103096, 107.38995552, 9787977, RX 2 4 6 8 10 14 16
312, 0.24064136, 107.63078356, 9838947, REPEAT 3 {     TICK
313, 0.00019193, 107.63115120, 9894485, TICK
314, 0.24197412, 107.87313294, 9894489, RX 2 4 6 8 10 14 16
315, 0.00025606, 107.87356424, 9947621, TICK
316, 0.37371731, 108.24728918, 9947625, RX 2 4 8 10 14 16 18
317, 0.23694873, 108.48441172, 9998677, REPEAT 3 {     TICK
318, 0.00019693, 108.48478699, 10053949, TICK
319, 2.76238441, 111.24717975, 10053953, RX 2 4 8 10 14 16 18
Partition 8/12 layer tree generation time (s): 4.266804218292236
320, 5.95705414, 117.20448780, 10106791, TICK
321, 0.45518613, 117.65969014, 10106795, RX 2 4 6 8 10 12 14
322, 0.24041343, 117.90030503, 10158244, REPEAT 3 {     TICK
323, 0.00019288, 117.90067959, 10214184, TICK
324, 0.24308896, 118.14377594, 10214188, RX 2 4 6 8 10 12 14
325, 0.00025225, 118.14421439, 10267729, TICK
326, 0.37404752, 118.51827145, 10267733, RX 2 4 8 10 14 16 20
327, 0.23845291, 118.75691319, 10319108, REPEAT 3 {     TICK
328, 0.00019145, 118.75728416, 10374620, TICK
329, 0.23884749, 118.99613929, 10374624, RX 2 4 8 10 14 16 20
330, 0.00023651, 118.99655008, 10427730, TICK
331, 0.64655590, 119.64311790, 10427734, RX 2 4 8 10 14 16 20
332, 0.23976040, 119.88308263, 10479285, REPEAT 3 {     TICK
333, 0.00019169, 119.88345718, 10535298, TICK
334, 0.24285412, 120.12631798, 10535302, RX 2 4 8 10 14 16 20
335, 0.00023150, 120.12673569, 10588925, TICK
336, 0.24064970, 120.36739302, 10588929, RX 2 4 8 10 14 16 20
337, 0.24270153, 120.61027384, 10640953, REPEAT 3 {     TICK
338, 0.00020647, 120.61067915, 10697612, TICK
339, 0.24828291, 120.85896873, 10697616, RX 2 4 8 10 14 16 20
340, 0.00024104, 120.85938740, 10751872, TICK
341, 0.43043065, 121.28982568, 10751876, RX 2 4 8 10 14 16 20
342, 0.22529054, 121.51528835, 10802302, REPEAT 3 {     TICK
343, 0.00018287, 121.51564622, 10856042, TICK
344, 0.22942138, 121.74507475, 10856046, RX 2 4 8 10 14 16 20
345, 0.00025725, 121.74550509, 10907356, TICK
346, 0.22910213, 121.97461486, 10907360, RX 2 4 8 10 14 16 20
347, 0.22976732, 122.20455599, 10957714, REPEAT 3 {     TICK
348, 0.00019026, 122.20493746, 11012066, TICK
349, 0.22998023, 122.43492508, 11012070, RX 2 4 8 10 14 16 20
350, 0.00024295, 122.43533731, 11064001, TICK
351, 0.23969507, 122.67503977, 11064005, RX 2 4 6 8 10 12 14
352, 0.24026299, 122.91547847, 11114866, REPEAT 3 {     TICK
353, 0.00019360, 122.91585135, 11170135, TICK
354, 0.24192595, 123.15778470, 11170139, RX 2 4 6 8 10 12 14
355, 0.00023079, 123.15818739, 11222961, TICK
356, 0.90456128, 124.06275630, 11222965, RX 2 4 8 10 14 16 20
357, 0.22867322, 124.29159665, 11273522, REPEAT 3 {     TICK
358, 0.00018787, 124.29195738, 11327801, TICK
359, 0.23072553, 124.52268958, 11327805, RX 2 4 8 10 14 16 20
360, 0.00023293, 124.52309632, 11379664, TICK
361, 0.23442292, 124.75752807, 11379668, RX 2 4 8 10 14 16 20
362, 0.23405647, 124.99175549, 11430406, REPEAT 3 {     TICK
363, 0.00018835, 124.99211788, 11485311, TICK
364, 2.74529481, 127.73741913, 11485315, RX 2 4 8 10 14 16 20
Partition 9/12 layer tree generation time (s): 4.296793460845947
365, 5.88075352, 133.61841607, 11537800, TICK
366, 0.37369347, 133.99212313, 11537804, RX 2 4 8 10 14 16 18
367, 0.23463798, 134.22693610, 11589047, REPEAT 3 {     TICK
368, 0.00020766, 134.22733235, 11644588, TICK
369, 0.23744535, 134.46478605, 11644592, RX 2 4 8 10 14 16 18
370, 0.00024033, 134.46520400, 11697718, TICK
371, 0.22773814, 134.69295049, 11697722, RX 2 4 8 10 14 16 20
372, 0.23116636, 134.92431164, 11748262, REPEAT 3 {     TICK
373, 0.00020385, 134.92470551, 11802534, TICK
374, 0.22921991, 135.15393472, 11802538, RX 2 4 8 10 14 16 20
375, 0.00026107, 135.15437412, 11854365, TICK
376, 0.23133636, 135.38571954, 11854369, RX 2 4 8 10 14 16 20
377, 0.23208690, 135.61799002, 11904976, REPEAT 3 {     TICK
378, 0.00019217, 135.61835766, 11959744, TICK
379, 0.23530960, 135.85367489, 11959748, RX 2 4 8 10 14 16 20
380, 0.00024486, 135.85409522, 12012078, TICK
381, 0.23129392, 136.08539748, 12012082, RX 2 4 8 10 14 16 20
382, 0.23215222, 136.31772399, 12062903, REPEAT 3 {     TICK
383, 0.00018644, 136.31808543, 12117799, TICK
384, 0.23398566, 136.55207849, 12117803, RX 2 4 8 10 14 16 20
385, 0.00024056, 136.55249786, 12170293, TICK
386, 0.44952607, 137.00203300, 12170297, RX 2 4 8 10 14 16 20
387, 0.22784925, 137.23006105, 12220754, REPEAT 3 {     TICK
388, 0.00018835, 137.23042202, 12275029, TICK
389, 0.23198891, 137.46241808, 12275033, RX 2 4 8 10 14 16 20
390, 0.00024652, 137.46283555, 12326893, TICK
391, 0.24306130, 137.70590591, 12326897, RX 2 4 6 8 10 14 16
392, 0.70439458, 138.41047740, 12378629, REPEAT 3 {     TICK
393, 0.00019670, 138.41085553, 12435271, TICK
394, 0.24826622, 138.65912986, 12435275, RX 2 4 6 8 10 14 16
395, 0.00026536, 138.65957975, 12489532, TICK
396, 0.23525286, 138.89484119, 12489536, RX 2 4 8 10 14 16 20
397, 0.23671055, 139.13173580, 12540978, REPEAT 3 {     TICK
398, 0.00019312, 139.13211751, 12596473, TICK
399, 0.23915577, 139.37128115, 12596477, RX 2 4 8 10 14 16 20
400, 0.00023484, 139.37169671, 12649558, TICK
401, 0.24205709, 139.61376166, 12649562, RX 2 4 8 10 14 16 20
402, 0.24609089, 139.86002707, 12701525, REPEAT 3 {     TICK
403, 0.00020003, 139.86040425, 12758191, TICK
404, 0.24513268, 140.10554433, 12758195, RX 2 4 8 10 14 16 20
405, 0.00023437, 140.10595441, 12812474, TICK
406, 0.22614598, 140.33210850, 12812478, RX 2 4 8 10 14 16 20
